"Part";"Value";"Device";"Package";"Description";"CIIVA_IDS";"CODE__JEDEC";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"DATASHEET";"DATASHEET_VERSION";"FOOTPRINT_VARIANT_NAME_0";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"MF";"MPN";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PIN_0_0_3_INSIDE_EDGE";"POPULARITY";"PREFIX";"PROD_ID";"RELEASE_DATE";"SF_ID";"SF_SKU";"SPICEPREFIX";"VALUE";"VAULT_GUID";"VAULT_REVISION";
"CLOCKDIV";"";"PINHD-2X6";"2X06";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8";"";"";"";"";"";"";"";"";"";
"CLOCKOUT";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"BAT42";"BAT42";"DO35-10";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"D2";"BAT42";"BAT42";"DO35-10";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"D3";"1N4148";"SMALL_DIODEDO35-7";"DO35-7";"Small Signal Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"DENSITY";"100k";"9MM_SNAP-IN_POT_";"9MM_SNAP-IN_POT";"9mm vertical snap-in pot, Alpha / Panasonic style";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ERASE";"";"MOMENTARY-SWITCH-SPST-PTH-12MM";"TACTILE_SWITCH_PTH_12MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SWCH-09185";"";"";"COM-09190";"";"";"";"";
"FDBK";"100k";"9MM_SNAP-IN_POT_";"9MM_SNAP-IN_POT";"9mm vertical snap-in pot, Alpha / Panasonic style";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FREQ";"100k";"9MM_SNAP-IN_POT_";"9MM_SNAP-IN_POT";"9mm vertical snap-in pot, Alpha / Panasonic style";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"";"POWER_JACKPOWER_JACK_SLOT";"POWER_JACK_PTH_SLOT";"Power Jack Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08197";"";"";"";"";"";"";"";
"JP4";"";"PINHD-2X4";"2X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LM358-1";"LM358";"LM358";"DIP08";"LM358";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-09172";"";"";"";"";"LM358";"";"";
"LM358-2";"LM358";"LM358";"DIP08";"LM358";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-09172";"";"";"";"";"LM358";"";"";
"MCP41050";"MCP41050";"MICROCHIP_MCP41050-I-PMICROCHIP_MCP41050-I-P_0_0";"MICROCHIP_MCP41050-I-P_0";"IN-DPOT-MCP41XXX-8";"965827";"MS-001";"Manufacturer URL";"http://www.microchip.com/";"Package Specification";"http://www.microchip.com/stellent/groups/techpub_sg/documents/packagingspec/en012702.pdf";"http://ww1.microchip.com/downloads/en/DeviceDoc/11195c.pdf";"Jul-2003";"Manufacturer Recommended";"yes";"vault";"1521866433";"Microchip";"MCP41050-I/P";"PDIP300-P8";"8-Lead Plastic Dual In-Line (P) - 300 mil Body [PDIP]";"revBB, Aug-2009";"clock";"";"U";"";"1331947897";"";"";"";"";"8499BC26-C1FC-4B90-9420-E4A686EE06B6";"41824CE8-0B62-48CA-9CA7-4E0BC05643CA";
"MELODY";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";
"MIX";"100k";"9MM_SNAP-IN_POT_";"9MM_SNAP-IN_POT";"9mm vertical snap-in pot, Alpha / Panasonic style";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MS4";"";"LED3MM";"LED_3MM";"LED (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-08794";"";"";"";"";"";"";"";
"OL96$1";"OLED_0.96_I2C";"OLED_0.96_I2C";"OLED_0.96_I2C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"OL96$2";"OLED_0.96_I2C";"OLED_0.96_I2C";"OLED_0.96_I2C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"OUTPUT";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PATTERN";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";
"PATTERNOFFSET";"";"MOMENTARY-SWITCH-SPST-PTH-12MM";"TACTILE_SWITCH_PTH_12MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SWCH-09185";"";"";"COM-09190";"";"";"";"";
"PT2399";"PT2399";"PT2399";"DIP-16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"10k";"RESISTOR7MM";"7MM_RESISTOR";"Standard resistor, various versions";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"10k";"RESISTOR7MM";"7MM_RESISTOR";"Standard resistor, various versions";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"10k";"RESISTOR7MM";"7MM_RESISTOR";"Standard resistor, various versions";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
